Steplength,Stepwidth,Gaitspeed,Class
53.24,11.11,0.85,3
69,6.37,1.31,3
44.7,13.85,0.9,1
40.62,11.26,0.74,3
56.13,10.86,1.15,1
60.57,7.44,1.3,3
56.31,7.68,1.11,1
43.47,14.05,0.64,1
46.44,9.39,0.85,1
71.5,6.68,1.49,1
64.93,7.61,1.21,1
52.06,7.03,0.99,3
44.1,11.88,0.81,1
55.57,9.91,1.22,1
69.92,7.53,1.34,1
58.07,5.33,1.07,1
65,6.25,1.27,1
56.13,5.91,0.98,3
71.42,10.58,1.16,1
58.8,7.21,1.15,1
59.57,12.71,1.07,1
74.42,9.03,1.41,1
60.93,8.56,1.1,1
60.23,9.16,1.26,1
66.25,10.17,1.35,1
68.67,13.08,1.26,3
69.83,4.78,1.21,1
64.92,8.75,1.27,1
53.73,11.82,1,3
59.71,11.3,1.05,3
53.8,9.55,1.06,3
45.82,14.54,0.81,3
60.21,13.03,1.19,1
50.5,10.32,0.93,3
53.19,3.91,0.97,1
61.07,8.34,1.22,1
66.57,12.56,1.2,1
52.63,8.19,1.03,1
52.63,9.88,1.09,1
53.44,10.36,1.02,1
75.2,10.96,1.52,1
53.81,13.8,0.86,3
62.92,12.32,1.16,3
63.62,11.73,1.3,1
47.41,10.74,1,3
59.43,13.85,1.05,3
58.21,18.6,1.06,1
61.5,8.77,1.23,1
44.32,9.75,0.68,1
51,20.96,1.05,3
72.42,9.38,1.38,3
69.42,14.33,1.2,1
56.25,13.1,0.98,1
71.64,13.05,1.3,1
67.5,11.09,1.26,1
64.92,12.51,1.15,3
55.75,9.11,0.97,1
55.13,9.56,1.07,1
62.29,18.09,1.02,3
59.07,10.96,1.06,1
50.53,10.18,1.05,1
37.17,17.03,0.64,3
65.58,9.2,1.21,1
55.93,10.1,0.79,1
51.63,10.43,0.98,3
89.13,10.31,1.71,3
66.75,12.24,1.21,1
75.09,4.45,1.31,3
54,5.85,1,1
70.36,9.79,1.3,3
55.46,11.72,0.9,1
49.78,11.19,0.95,3
71.08,16.33,1.4,1
54.4,9.87,1.11,1
61.86,10.49,1.11,3
56,10.88,1.08,1
61.29,11.32,1.16,1
68.83,13.3,1.33,3
70.25,8.48,1.18,1
61.29,16.32,1.17,1
46.73,6.8,0.79,1
51.82,6.28,0.91,1
